date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,real_soil_moisture_mm
2015-06-29,Baghpat,Rice,33.38,8.32,1.78,19.52,6.759457327083802,69.99816745519638
2015-06-30,Baghpat,Rice,31.94,24.4,0.91,20.59,6.624663790164886,65.86589813232422
2015-07-01,Baghpat,Rice,32.76,2.96,1.27,23.79,6.904029108155218,62.626075744628906
2015-07-02,Baghpat,Rice,32.94,0.33,1.53,23.22,6.895020529749297,60.27660369873047
2015-07-03,Baghpat,Rice,34.27,1.19,3.25,23.12,7.0669162194631925,58.1541046500206
2015-07-04,Baghpat,Rice,34.82,0.8,3.69,22.06,7.0785727996309165,56.65435642004013
2015-07-05,Baghpat,Rice,34.81,7.17,2.84,20.61,6.991357961407127,74.12185817956924
2015-07-06,Baghpat,Rice,31.77,29.84,1.86,10.33,6.118054267272867,103.67527306079865
2015-07-07,Baghpat,Rice,31.36,15.31,0.77,16.78,6.318154893167243,112.14962303638458
2015-07-08,Baghpat,Rice,31.75,4.49,0.76,20.69,6.576826868552691,117.57220923900604
2015-07-09,Baghpat,Rice,31.38,3.42,1.43,14.22,6.169841685615752,119.52133476734161
2015-07-10,Baghpat,Rice,28.95,38.32,1.66,4.67,5.751433037757815,128.07808220386505
2015-07-11,Baghpat,Rice,28.04,98.39,1.61,4.99,5.63432094019763,129.0889710187912
2015-07-12,Baghpat,Rice,28.15,14.43,2.8,5.7,5.642422980509963,125.68835914134979
2015-07-13,Baghpat,Rice,28.71,6.3,0.9,23.6,6.2943255147418435,116.56933128833771
2015-07-14,Baghpat,Rice,29.31,0.86,2.38,24.3,6.404754076919314,110.94074249267578
2015-07-15,Baghpat,Rice,29.87,1.26,3.49,24.6,6.49010036164891,104.42371666431427
2015-07-16,Baghpat,Rice,30.14,0.82,2.78,19.61,6.265527505588099,110.9289139509201
2015-07-17,Baghpat,Rice,29.85,5.77,1.26,17.64,6.118379539318032,126.05399787425995
2015-07-18,Baghpat,Rice,30.05,2.8,1.11,12.45,5.856300552957732,122.51262366771698
2015-07-19,Baghpat,Rice,29.54,1.77,0.96,18.43,6.1068263280211275,124.16076958179474
2015-07-20,Baghpat,Rice,29.61,2.58,0.57,12.77,5.80661837133291,123.0524092912674
2015-07-21,Baghpat,Rice,30.26,2.91,0.92,20.67,6.302676935086244,120.21846771240234
2015-07-22,Baghpat,Rice,29.55,2.92,1.16,22.07,6.273228336932141,115.68221747875214
2015-07-23,Baghpat,Rice,29.45,0.25,1.6,22.09,6.2533444701341665,110.92204749584198
2015-07-24,Baghpat,Rice,29.62,0.4,1.25,19.4,6.130561770504745,109.25731658935547
2015-07-25,Baghpat,Rice,29.41,11.65,1.25,22.15,6.23503356974178,107.77702331542969
2015-07-26,Baghpat,Rice,28.7,2.77,3.39,19.66,6.008543864271146,105.84507286548615
2015-07-27,Baghpat,Rice,28.61,2.74,2.77,22.46,6.127885737105493,101.32236778736115
2015-07-28,Baghpat,Rice,28.38,0.58,2.29,22.29,6.080451709158786,97.71995544433594
2015-07-29,Baghpat,Rice,28.2,0.01,2.73,14.91,5.675945233485051,93.86977851390839
2015-07-30,Baghpat,Rice,29.49,0.12,2.16,15.24,5.843382040754774,94.82231140136719
2015-07-31,Baghpat,Rice,28.92,9.28,2.26,14.19,5.707871218653698,96.46739959716797
2015-08-01,Baghpat,Rice,28.79,4.3,1.79,13.5,5.6455540337995345,107.92922973632812
2015-08-02,Baghpat,Rice,28.58,3.31,1.01,19.99,5.944835224500896,107.79533386230469
2015-08-03,Baghpat,Rice,27.98,0.01,1.16,23.7,6.038421066913435,105.32817542552948
2015-08-04,Baghpat,Rice,30.7,0.05,1.2,20.12,6.201515478523005,102.72045135498047
2015-08-05,Baghpat,Rice,31.38,4.81,1.23,15.71,6.038577981676273,110.63499748706818
2015-08-06,Baghpat,Rice,30.96,8.52,1.73,13.18,5.835533329665602,114.21299278736115
2015-08-07,Baghpat,Rice,29.45,14.09,1.55,11.27,5.560700482775888,118.79692375659943
2015-08-08,Baghpat,Rice,29.1,30.37,1.96,7.05,5.50631941297343,128.95927727222443
2015-08-09,Baghpat,Rice,28.28,20.47,1.59,11.25,5.396778183892332,124.98245537281036
2015-08-10,Baghpat,Rice,29.84,6.63,0.96,15.92,5.801056336825875,126.63650214672089
2015-08-11,Baghpat,Rice,29.51,11.81,0.91,8.96,5.5126304715110654,126.19247138500214
2015-08-12,Baghpat,Rice,29.23,4.88,1.07,20.99,5.961375452623153,121.87175452709198
2015-08-13,Baghpat,Rice,30.06,3.08,0.65,20.21,6.013094123901317,116.27902686595917
2015-08-14,Baghpat,Rice,30.28,1.31,0.81,11.75,5.573261646891284,121.03271484375
2015-08-15,Baghpat,Rice,29.72,14.18,1.09,11.0,5.4765670740216965,122.29785919189453
2015-08-16,Baghpat,Rice,28.77,7.47,1.22,16.83,5.638544256626966,119.64035332202911
2015-08-17,Baghpat,Rice,29.11,5.12,1.56,18.43,5.747660208282977,114.66254889965057
2015-08-18,Baghpat,Rice,29.38,7.32,1.9,19.81,5.836397954430077,115.08025825023651
2015-08-19,Baghpat,Rice,28.76,2.07,2.69,22.62,5.883682838106035,118.29643249511719
2015-08-20,Baghpat,Rice,27.95,17.37,2.82,20.51,5.664266392822515,110.59284210205078
2015-08-21,Baghpat,Rice,27.98,6.64,2.34,16.74,5.465619317109035,106.42623603343964
